 NODE_NUM  TIME  DATE   X Y A_CONC     B_CONC    C_CONC
  86           0.00 01/01/2024       0.00     732.86     0.0000     0.0000     0.0000
  87           0.00 01/01/2024       0.75     732.86     0.0000     0.0000     0.0000
  88           0.00 01/01/2024       1.80     732.86     0.0000     0.0000     0.0000
  89           0.00 01/01/2024       3.27     732.86     0.0000     0.0000     0.0000
  90           0.00 01/01/2024       5.00     732.86     0.0000     0.0000     0.0000
  91           0.00 01/01/2024       0.00     731.85     0.0000     0.0000     0.0000
  92           0.00 01/01/2024       0.75     731.85     0.0000     0.0000     0.0000
  93           0.00 01/01/2024       1.80     731.85     0.0000     0.0000     0.0000
  94           0.00 01/01/2024       3.27     731.85     0.0000     0.0000     0.0000
  95           0.00 01/01/2024       5.00     731.85     0.0000     0.0000     0.0000
  96           0.00 01/01/2024       0.00     730.83     0.0000     0.0000     0.0000
  97           0.00 01/01/2024       0.75     730.83     0.0000     0.0000     0.0000
  98           0.00 01/01/2024       1.80     730.83     0.0000     0.0000     0.0000
  99           0.00 01/01/2024       3.27     730.83     0.0000     0.0000     0.0000
 100           0.00 01/01/2024       5.00     730.83     0.0000     0.0000     0.0000
 101           0.00 01/01/2024       0.00     729.81     0.0000     0.0000     0.0000
 102           0.00 01/01/2024       0.75     729.81     0.0000     0.0000     0.0000
 103           0.00 01/01/2024       1.80     729.81     0.0000     0.0000     0.0000
 104           0.00 01/01/2024       3.27     729.81     0.0000     0.0000     0.0000
 105           0.00 01/01/2024       5.00     729.81     0.0000     0.0000     0.0000
 106           0.00 01/01/2024       0.00     728.79     0.0000     0.0000     0.0000
 107           0.00 01/01/2024       0.75     728.79     0.0000     0.0000     0.0000
 108           0.00 01/01/2024       1.80     728.79     0.0000     0.0000     0.0000
 109           0.00 01/01/2024       3.27     728.79     0.0000     0.0000     0.0000
 110           0.00 01/01/2024       5.00     728.79     0.0000     0.0000     0.0000
 111           0.00 01/01/2024       0.00     727.77     0.0000     0.0000     0.0000
 112           0.00 01/01/2024       0.75     727.77     0.0000     0.0000     0.0000
 113           0.00 01/01/2024       1.80     727.77     0.0000     0.0000     0.0000
 114           0.00 01/01/2024       3.27     727.77     0.0000     0.0000     0.0000
 115           0.00 01/01/2024       5.00     727.77     0.0000     0.0000     0.0000
 116           0.00 01/01/2024       0.00     726.75     0.0000     0.0000     0.0000
 117           0.00 01/01/2024       0.75     726.75     0.0000     0.0000     0.0000
 118           0.00 01/01/2024       1.80     726.75     0.0000     0.0000     0.0000
 119           0.00 01/01/2024       3.27     726.75     0.0000     0.0000     0.0000
 120           0.00 01/01/2024       5.00     726.75     0.0000     0.0000     0.0000
 121           0.00 01/01/2024       0.00     725.72     0.0000     0.0000     0.0000
 122           0.00 01/01/2024       0.75     725.72     0.0000     0.0000     0.0000
 123           0.00 01/01/2024       1.80     725.72     0.0000     0.0000     0.0000
 124           0.00 01/01/2024       3.27     725.72     0.0000     0.0000     0.0000
 125           0.00 01/01/2024       5.00     725.72     0.0000     0.0000     0.0000
 126           0.00 01/01/2024       0.00     724.70     0.0000     0.0000     0.0000
 127           0.00 01/01/2024       0.75     724.70     0.0000     0.0000     0.0000
 128           0.00 01/01/2024       1.80     724.70     0.0000     0.0000     0.0000
 129           0.00 01/01/2024       3.27     724.70     0.0000     0.0000     0.0000
 130           0.00 01/01/2024       5.00     724.70     0.0000     0.0000     0.0000
 131           0.00 01/01/2024       0.00     723.67     0.0000     0.0000     0.0000
 132           0.00 01/01/2024       0.75     723.67     0.0000     0.0000     0.0000
 133           0.00 01/01/2024       1.80     723.67     0.0000     0.0000     0.0000
